tag_name,count
javascript,1723731
java,1487235
c#,1264947
php,1245650
android,1155005
python,1068679
jquery,936264
html,789778
c++,595978
ios,584135
css,563816
mysql,541862
sql,468836
asp.net,340549
ruby-on-rails,300045
c,290829
objective-c,286275
arrays,281590
.net,276857
r,265957
angularjs,256054
node.js,252591
json,249683
sql-server,247642
iphone,219806
swift,214571
ruby,200339
regex,198964
ajax,194190
django,185010
excel,182653
xml,178526
asp.net-mvc,176231
linux,170986
database,150929
wpf,145756
spring,143227
angular,142665
wordpress,142202
vba,135135
string,133967
python-3.x,131954
xcode,129185
windows,125474
vb.net,121044
html5,117178
eclipse,114942
reactjs,112290
multithreading,112078
mongodb,106967
bash,106039
git,105434
oracle,104154
laravel,103084
twitter-bootstrap,93551
postgresql,92790
forms,91930
image,90980
macos,88842
pandas,88287
algorithm,88187
python-2.7,87226
scala,84842
visual-studio,84166
excel-vba,84079
facebook,82951
winforms,82471
apache,82460
list,82078
matlab,81429
performance,80202
entity-framework,77237
css3,76835
hibernate,74755
linq,72150
swing,71748
function,70319
qt,68418
typescript,68305
rest,67570
shell,67450
amazon-web-services,67212
maven,64660
.htaccess,64355
api,64301
azure,64062
sqlite,63809
powershell,62983
file,61705
firebase,61699
codeigniter,61517
perl,61059
unit-testing,60473
symfony,59639
loops,59387
google-maps,58981
web-services,58753
uitableview,58427
csv,58130
cordova,57759
