gb,70256353
us,118053320
de,42164391
in,50991449
nl,15554954
fr,18848738
il,8839166
ca,26748643
au,22123085
ru,10491942
se,10973357
ch,8738537
sg,4013687
be,5234409
it,6841301
pl,9227676
dk,5038611
br,6428398
bg,3382771
at,5045239
nz,5702849
no,4592548
ie,4108918
ua,4754874
cz,3801966
fi,3713436
om,4370166
es,6281197
jp,2949406
za,2969226
hu,2219614
hk,1546854
by,1889088
gr,2392405
pt,2435346
tr,2416367
ar,2507071
bd,2109318
cn,4276004
ph,1845852
pk,3930851
ir,2539533
lk,1721747
sk,1402171
hr,1392934
mx,1591941
gt,662106
kr,832557
si,928099
eg,1012946
cl,863886
ae,905212
my,1102196
lv,810201
vn,1059583
ee,824074
rs,1052970
th,1005435
id,1136396
lt,838055
np,912853
am,581602
pe,620366
uy,456999
ge,572023
mt,303780
cr,318853
lb,558189
co,774874
ke,326733
lu,323020
ba,310978
tn,285396
sm,208827
ma,361558
is,261674
md,288869
jo,368172
ne,387109
py,223765
cy,222631
sa,352613
kw,169510
aq,136686
ve,264464
do,185773
mu,115337
az,173910
kg,111301
dz,198847
sv,84709
bo,128792
kh,132421
sd,98586
kz,170643
ni,100140
al,127015
uz,122728
ad,56226
cu,102251
ps,95874
ec,98856
bh,68161
mm,123554
jm,69464
gh,90733
et,59762
pr,56909
iq,40789
ug,67962
zm,29634
af,37925
sn,26164
mv,21730
pa,52920
tz,32802
tj,20280
zw,24894
mk,41471
me,45145
hn,26607
mn,24343
mg,39250
mc,17628
mz,11786
bn,17211
cm,24501
gn,10039
ye,12681
li,7406
ly,13175
sl,6731
gl,7865
tm,11072
rw,10329
sr,5467
gu,5056
ht,7192
tw,5065
re,6487
na,5655
la,3804
ml,10449
bw,4080
kp,2923
bz,2648
sz,2909
bj,3919
bt,2987
ao,3296
cd,5352
mw,2952
mr,2664
bi,2048
ci,1053
er,1059
bf,1591
gm,923
cv,798
gy,679
ls,725
tl,415
ga,440
tg,1352
sy,351
sc,311
lr,293
td,203
dj,117
mo,197
va,113
gf,58
yt,18
